Unix,TimeStamp,GSR,BPM,RRI,HF,LF,HF(%),LF(%)
1491541386.12,1436,525,82,733.92,0,0,0.0,0.0
1491541386.3,1436,524,82,733.92,0,0,0.0,0.0
1491541386.49,1436,525,62,971.8,502.195232192,668.697115577,0.4289,0.5711
1491541386.68,1436,524,62,971.8,502.195232192,668.697115577,0.4289,0.5711
1491541386.86,1436,523,62,971.8,502.195232192,668.697115577,0.4289,0.5711
1491541387.04,1437,521,62,971.8,502.195232192,668.697115577,0.4289,0.5711
1491541387.23,1437,525,81,737.41,449.652867322,574.722491355,0.439,0.561
1491541387.42,1437,525,81,737.41,449.652867322,574.722491355,0.439,0.561
1491541387.62,1437,522,81,737.41,449.652867322,574.722491355,0.439,0.561
1491541387.83,1437,524,81,737.41,449.652867322,574.722491355,0.439,0.561
1491541388.03,1438,524,75,799.11,382.8650858,581.820057126,0.3969,0.6031
1491541388.23,1438,527,75,799.11,382.8650858,581.820057126,0.3969,0.6031
1491541388.42,1438,522,75,799.11,382.8650858,581.820057126,0.3969,0.6031
1491541388.62,1438,523,75,799.11,382.8650858,581.820057126,0.3969,0.6031
1491541388.83,1438,525,75,794.84,420.669096109,553.918335266,0.4316,0.5684
1491541389.03,1439,526,75,794.84,420.669096109,553.918335266,0.4316,0.5684
1491541389.23,1439,523,75,794.84,420.669096109,553.918335266,0.4316,0.5684
1491541389.43,1439,524,75,794.84,420.669096109,553.918335266,0.4316,0.5684
1491541389.63,1439,523,75,800.4,551.055185669,414.237451257,0.5709,0.4291
1491541389.83,1439,527,75,800.4,551.055185669,414.237451257,0.5709,0.4291
1491541390.03,14310,522,75,800.4,551.055185669,414.237451257,0.5709,0.4291
1491541390.22,14310,525,75,800.4,551.055185669,414.237451257,0.5709,0.4291
1491541390.44,14310,523,75,805.12,532.152630313,372.077150892,0.5885,0.4115
1491541390.62,14310,526,75,805.12,532.152630313,372.077150892,0.5885,0.4115
1491541390.82,14310,523,75,805.12,532.152630313,372.077150892,0.5885,0.4115
1491541391.02,14311,523,75,805.12,532.152630313,372.077150892,0.5885,0.4115
1491541391.27,14311,527,72,837.57,661.851912698,366.025075937,0.6439,0.3561
1491541391.47,14311,525,72,837.57,661.851912698,366.025075937,0.6439,0.3561
1491541391.66,14311,524,72,837.57,661.851912698,366.025075937,0.6439,0.3561
1491541391.85,14311,524,72,837.57,661.851912698,366.025075937,0.6439,0.3561
1491541392.05,14312,523,77,780.87,621.125095704,516.400978883,0.546,0.454
1491541392.24,14312,527,77,780.87,621.125095704,516.400978883,0.546,0.454
1491541392.43,14312,523,77,780.87,621.125095704,516.400978883,0.546,0.454
1491541392.64,14312,524,77,780.87,621.125095704,516.400978883,0.546,0.454
1491541392.83,14312,523,77,780.87,621.125095704,516.400978883,0.546,0.454
1491541393.02,14313,525,62,972.31,655.08523577,544.904063119,0.5459,0.4541
1491541393.21,14313,523,62,972.31,655.08523577,544.904063119,0.5459,0.4541
1491541393.4,14313,525,62,972.31,655.08523577,544.904063119,0.5459,0.4541
1491541393.6,14313,524,62,972.31,655.08523577,544.904063119,0.5459,0.4541
1491541393.8,14313,525,77,774.81,669.838354852,501.563484498,0.5718,0.4282
1491541393.99,14313,527,77,774.81,669.838354852,501.563484498,0.5718,0.4282
1491541394.17,14314,524,77,774.81,669.838354852,501.563484498,0.5718,0.4282
1491541394.35,14314,522,77,774.81,669.838354852,501.563484498,0.5718,0.4282
1491541394.56,14314,525,80,753.72,649.710412541,484.625708347,0.5728,0.4272
1491541394.77,14314,524,80,753.72,649.710412541,484.625708347,0.5728,0.4272
1491541394.96,14314,523,80,753.72,649.710412541,484.625708347,0.5728,0.4272
1491541395.15,14315,523,80,753.72,649.710412541,484.625708347,0.5728,0.4272
1491541395.35,14315,524,80,753.72,649.710412541,484.625708347,0.5728,0.4272
1491541395.55,14315,524,60,997.05,572.04262985,419.897716866,0.5767,0.4233
